evaluation,label
用了一段时间，感觉还不错，可以,正面
电视非常好，已经是家里的第二台了。第一天下单，第二天就到本地了，可是物流的人说车坏了，一直催，客服也帮着催，到第三天下午5点才送过来。父母年纪大了，买个大电视画面清晰，趁着耳朵还好使，享受几年。,正面
电视比想象中的大好多，画面也很清晰，系统很智能，更多功能还在摸索中,正面
不错,正面
用了这么多天了，感觉还不错。夏普的牌子还是比较可靠。希望以后比较耐用，现在是考量质量的时候。,正面
物流速度很快，非常棒，今天就看了电视，非常清晰，非常流畅，一次非常完美的购物体验,正面
非常好，客服还特意打电话做回访,正面
物流小哥不错，辛苦了，东西还没用,正面
送货速度快，质量有保障，活动价格挺好的。希望用的久，不出问题。,正面
非常漂亮，也非常清晰，反应速度也快。,正面
很不错家里都喜欢。。。一次买了三台,正面
送货非常快！质量非常好，这次购物非常愉快！！,正面
58好大……都不错。看质量咯,正面
物流很快，物有所值，值得信赖。依旧会关顾！谢谢商家！,正面
这价钱超值，收到货马上装上看了一下。很清晰式样也蛮好！赞赞……,正面
目前感受还不错,正面
速度快、服务态度很好,正面
挺好的，物流也快，两天就到了,正面
发货速度快,正面
送货很快，安装服务也很好,正面
质量很好，物流服务到位,正面
看4k这款确实比普通屏好很多，感觉比较明显，价格的话双12搞活动比较给力，就是百视通的资源与腾讯视频比还是有点差距，客户自己装一个！,正面
便宜，能用，这个价格可以。,正面
给我妈买的，妈妈很开心说很好，说快递小哥态度很好。给好评。,正面
性价比极高的一款电视机，值得 拥有,正面
电视不错 晒单： 收起 向左转 向右转,正面
还不错啊，高端大气上档次，外观喜欢。,正面
还不错,正面
这台电视是给远在家乡的父母买的。父母年纪大了，这种简单的操作系统比较适合他们。搞活动半夜下的单子，第二天就送到了，安装简单，系统运行速度也很快。各种类别节目都很齐全，清晰度很好。父母反应很满意！,正面
蛮好的。物美价廉。我同事看我买了也买了两台。还包上门安装。,正面
挺好的，就是感觉买小了，应该买43寸的,正面
不错，很好,正面
相信日本品牌，品质放心。,正面
好，一次不错的选择，非常清楚，非常好。,正面
给奶奶买的，奶奶很喜欢。送货的服务也不错哦。,正面
挺不错的 画面清晰 外观既好看又时尚,正面
给老爸卧室买的，质量很不错，第一次买夏普，网络直接连接，送了一年的爱奇艺，不错,正面
给姑姑买的卧室电视，不错哦。上门安装加挂架多付80而已。姑姑很满意,正面
服务很好，,正面
价格便宜，性价比挺好，刚刚开始用,正面
电视收到了，很好，质量好，色彩也好，安装师傅也有耐心！棒棒！,正面
电视不错，屏幕够大。,正面
电视到货很久了，今天才安装好，很激动，效果很好，京东物流也很给力，必须给五分?,正面
还不错,正面
宝贝收到了，发货速度很快，价格实惠，包装完整，非常满意！,正面
京东家电正品低价服务到家,正面
京东值得信赖,正面
58寸！你想象不的视觉体验！操作界面简单，遥控的语音识别很是不错，影片库也很全，从最新的到最热的，从此爱上看电视！,正面
为电视的问题考虑了半天，从LG换到三星，最终选择了索尼。没有usb3.0和hdmi2.0的电视，以后必然难以支持4K60帧的视频，这个价位选索尼没毛病,正面
团购比平时便宜2O0元，抵,正面
快递物流好，自行安装底座很方便，由于不是高清机顶盒缘故，接有线电视图像一般，其他图像非常好。投屏功能很好用，操作界面整洁，把新电视屏幕的保护膜撕掉，画面十分鲜艳，连接wifi后，测试了一下，很满意，非常愉快的一次网购体验！ 晒单： 收起 向左转 向右转,正面
"电视相当不错，12月18号下的单，19号下午收到的，足以证明火爆程度。总结了以下几点:一、65H7全金属机身、（后面塑料）视觉无边框，我比较喜欢，无边界方显大视野； 25核处理器，2G DDR4+8G FLASH，配置好电视才能运行快；虽说内存不是很大，剩余内存不到4个g，应该也够用 。二、电视外表整体做工还行， 拥有HDR技术，广色域技术，4K MEMC，色彩好，拥有HDR技术，广色域技术，4K MEMC，画质清晰音质也还好 杜比解码+DTS解码，立体环绕音效，搭载酷开系统5.8。三、对比很多，其他电视只有屏幕和资源拿的出手，防抖什么的就绝口不提，反而创维65H7能在这个价位加上MEMC,相当良心，所以还是选了创维。四、电视也今年5月份刚上市，虽说对电视没有多大了解，都是网上查看，电视用的cpu也是去年新出（至于好坏我也不懂，看了很多，大家可以自己查看）五、对供应商客服很满意，纠结了好几天，有什么问题都问到供应商客服，而且每次都是耐心及时给回答，对于这点体验很好，相信售后也很给力的。安装也相当给力，当天下午到货，晚上就装上了，还免安装费。",正面
此用户未及时评价，系统默认好评。 2017-12-01 17:17:15 追加： 很清晰，音质很好,正面
外观很漂亮，画质和声音都非常不错,正面
安装完成，开始用起来，感觉还不错,正面
电视很完美，看起来也很漂亮。边框窄，整体观看效果比普通的LED电视好很多。安装师傅很给力，送货师傅也很给力。五星好评。,正面
非常不错的电视机，价格也便宜，飞利浦，大品牌,正面
很好，送货很快，满意,正面
一如既往的好评…拍来送人的。朋友很满意。,正面
还不错哦，送货很快，提前一天就送来了,正面
不得不佩服京东的配送速度，太快了，现在基本都在京东买了，又便宜又好,正面
物美价廉,正面
