,0
0,正面
1,正面
2,正面
3,正面
4,正面
5,正面
6,正面
7,正面
8,正面
9,正面
10,正面
11,正面
12,负面
13,正面
14,正面
15,正面
16,正面
17,正面
18,正面
19,正面
20,正面
21,正面
22,正面
23,负面
24,正面
25,正面
26,正面
27,正面
28,负面
29,正面
30,正面
31,正面
32,正面
33,正面
34,负面
35,正面
36,正面
37,正面
38,负面
39,正面
40,正面
41,正面
42,正面
43,正面
44,正面
45,正面
46,负面
47,正面
48,正面
49,负面
50,正面
51,正面
52,正面
53,正面
54,正面
55,正面
56,负面
57,正面
58,正面
59,负面
60,正面
61,正面
62,正面
63,负面
64,正面
65,正面
66,正面
67,正面
68,正面
69,正面
70,正面
71,负面
72,正面
73,正面
74,正面
75,负面
76,正面
77,正面
78,正面
79,正面
80,负面
81,正面
82,正面
83,负面
84,正面
85,正面
86,正面
87,正面
88,正面
89,正面
90,正面
91,正面
92,负面
93,负面
94,正面
95,正面
96,正面
97,正面
98,正面
99,正面
100,正面
101,正面
102,正面
103,正面
104,正面
105,正面
106,正面
107,正面
108,负面
109,正面
110,正面
111,正面
112,正面
113,正面
114,正面
115,正面
116,正面
117,正面
118,正面
119,正面
120,正面
121,正面
122,正面
123,正面
124,正面
125,正面
126,正面
127,负面
128,正面
129,正面
130,正面
131,负面
132,负面
133,正面
134,正面
135,正面
136,正面
137,正面
138,正面
139,正面
140,正面
141,负面
142,正面
143,正面
144,正面
145,负面
146,正面
147,正面
148,正面
149,正面
150,正面
151,正面
152,正面
153,正面
154,正面
155,正面
156,正面
157,负面
158,正面
159,正面
160,负面
161,正面
162,负面
163,正面
164,正面
165,负面
166,正面
167,正面
168,正面
169,正面
170,正面
171,正面
172,正面
173,负面
174,正面
175,正面
176,负面
177,正面
178,正面
179,正面
180,正面
181,正面
182,正面
183,正面
184,负面
185,正面
186,正面
187,正面
188,正面
189,正面
190,正面
191,负面
192,正面
193,正面
194,正面
195,正面
196,正面
197,正面
198,正面
199,正面
200,正面
201,正面
202,正面
203,正面
204,正面
205,负面
206,正面
207,正面
208,正面
209,正面
210,正面
211,正面
212,负面
213,负面
214,正面
215,正面
216,正面
217,负面
218,负面
219,正面
220,正面
221,正面
222,正面
223,正面
224,负面
225,正面
226,正面
227,正面
228,负面
229,正面
230,正面
231,负面
232,负面
233,正面
234,正面
235,正面
236,负面
237,正面
238,正面
239,正面
240,正面
241,正面
242,正面
243,正面
244,负面
245,正面
246,正面
247,正面
248,正面
249,正面
250,正面
251,负面
252,负面
253,负面
254,负面
255,正面
256,正面
257,正面
258,正面
259,负面
260,正面
261,正面
262,负面
263,正面
264,负面
265,正面
266,负面
267,正面
268,正面
269,正面
270,正面
271,正面
272,正面
273,正面
274,正面
275,正面
276,正面
277,正面
278,正面
279,负面
280,正面
281,正面
282,正面
283,正面
284,正面
285,正面
286,正面
287,正面
288,正面
289,正面
290,正面
291,负面
292,正面
293,正面
294,正面
295,正面
296,负面
297,正面
298,正面
299,正面
300,正面
301,正面
302,正面
303,正面
304,正面
305,负面
306,负面
307,正面
308,正面
309,负面
310,正面
311,正面
312,正面
313,正面
314,负面
315,负面
316,正面
317,正面
318,负面
319,正面
320,正面
321,正面
322,正面
323,正面
324,正面
325,正面
326,正面
327,正面
328,正面
329,正面
330,正面
331,正面
332,正面
333,正面
334,负面
335,正面
336,正面
337,正面
338,负面
339,正面
340,正面
341,正面
342,正面
343,正面
344,负面
345,正面
346,正面
347,正面
348,正面
349,正面
350,正面
351,正面
352,正面
353,正面
354,负面
355,正面
356,正面
357,正面
358,正面
359,正面
360,正面
361,正面
362,正面
363,正面
364,正面
365,正面
366,正面
367,负面
368,正面
369,正面
370,正面
371,正面
372,负面
373,正面
374,正面
375,正面
376,正面
377,负面
378,正面
379,正面
380,正面
381,正面
382,正面
383,正面
384,正面
385,负面
386,正面
387,正面
388,正面
389,负面
390,正面
391,正面
392,正面
393,正面
394,正面
395,正面
396,正面
397,正面
398,正面
399,正面
400,正面
401,正面
402,正面
403,正面
404,正面
405,正面
406,正面
407,正面
408,正面
409,负面
410,正面
411,正面
412,正面
413,正面
414,负面
415,正面
416,正面
417,正面
418,负面
419,负面
420,负面
421,正面
422,正面
423,负面
424,正面
425,正面
426,正面
427,正面
428,负面
429,正面
430,正面
431,正面
