,evaluation,0
485,电视整体看起来不错，图像清晰,正面
3151,用了一周多了，也下定决心来评价一下。家里接闭路电线来看，画面很模糊，看着很刺眼。后面我让老爸改用网站来看，他说偶尔也有字体变得很大的情况，看都看不清楚。总体看起来电视还是很不错的，但我爸用着，他的评价并不是很好。拨打4k电视，也没有达到预期的效果，屏幕也没有宣传的那么好。如果再给我一次机会选择的话，我会加价去买三星了。但这个价格，还是值得了。,负面
2970,1 电视清晰度可以接受 如有更高要求的不建议买 2 电视开机忒慢 3 抢购的时候没注意发票信息，给公司买的这些还得自己找发票 4 玩了一下里面的游戏 ，卡死两次 5 999抢购的 也就这样了还是不错的总体来讲,负面
3550,屏幕漏液，灰屏，旧换新了，质量差不说，售后服务真的是差到极点，6月2号提出处理，到了29号才完成，这还是我自己接二连三催着他们才处理。每次问他们处理进度如何，都是叫我迟点再联系他们，无力吐槽，最后要我投诉才处理，打售后电话又说是天猫商城负责，不关他的事，天猫商城又说要厂家处理，打电话给售后说给我答复，我没得到任何答复，我的天呐，推来推去。交叫上门取旧机就更来气了，迟迟不收件，物流是他们合作的却不关他的事一样，你不催他不急，会故意拖到你七天退款期限，退款的时候还会敲诈无理由100元运费，什么鬼东西，质量问题是无理由吗？买这个垃圾品牌的要注意了，如果看重售后的就别买，等你们遇到要售后的时候就知道什么叫垃圾了。掌柜敢不敢回复我的评论，如果认为我乱说，我可以提供图片证明。唉，心累,负面
2477,基本上只能给一个中评到差评标准，使用半个月 做以下总结，真实评价不喜勿喷，选择片源时候死机基本上每天一到两次，画质只有它机器自带的画面比较清晰，进去片源以后色彩不好看，并且不能调节，需要返回主页选择显示效果。赠送的会员没有任何吊用，我以为可以像其他一样什么都能看，但是里面都是svip的片源 需要再花钱升级到钻石会员才可以。属于欺骗顾客，基本的同步最新电视剧都看不了，片源还少。电视声音巨差，还拿中国新歌声当幌子，声音没法听，我用了外接音响才能听，更别谈音质了！不能插稍微老一点的机顶盒因为根本没有音频视频老式接口，过了七天退货，所以退不了了，给大家一些使用感受，过几天就没有送E卡活动了，也没有满减券 我买的2 9 9 8*，基本属于贵的买价了吧,正面
2058,总体来说还行，音频输出端口不方便,正面
2275,电视一般般，物流很差，不满意哦！,正面
1144,物流给力，送客户的！后续评价！,负面
1156,非常大气，性价比非常高，强力推荐！ 晒单： 收起 向左转 向右转,负面
3335,物流挺快的，也挺准时的，就是一点京东的价格太坑人了，我买的时候价格是1498还没有一天呢价格就降到了1298,负面
1690,产品质量很好,正面
3492,电视机相当不错，安卓系统不错！卡车送货小哥送货到位就是第一时间没找到地点，我亲自去接的给我搬家里了！这回送货速度超快一天不到就到了！ 自己用鲁大师检测了屏幕坏点！发现有个瑕疵！反正你们微鲸一年内只换不修！明年的六月肯定让客服换个新的！被我抓到把柄了！抓你小辫子！下边二张就是屏幕瑕疵也不知道是坏点呢？还是偏光板上的灰尘！我在TCL 55寸曲面三星屏上见过比这个更大的！无奈退货了！谢谢请尽快登记送我原装挂架！,负面
2789,1.说一下优点 显示解析度可以。而且是Android L比那些4.4的好多了。视频源用的腾讯，真给力，喜欢的网络动画不用开电脑看了。会员可以用蓝光品质播放，细节很到位，这个需要自己设置，它默认的是高清。 2.说下建议 因为是大屏高分，所以部分第三方手机应用闪退不支持，比如慕课网，哔哩哔哩等。还有一个就是屏幕封装有点缝隙。这几个希望改进。期待新系统的推送。 3.对了，什么当贝市场呀，自己装一下，还有HDP不错。 想看高清还是装个数字电视机顶盒吧，网一卡真的跪了,负面
650,电视不错哦，就是手机太差拍的不好，非常的喜欢，看电视流畅，用了几天才来评价的,正面
915,画面清晰，流畅度一般，用了一个多。没发现质量问题,负面
1296,价廉物美，喜欢！,负面
1304,电视还行，物有所值，最重要的是京东的售后好，师傅电话联系送过来，安装好调试好，态度特别好,负面
2515,有时候会死机，画面卡在那不会动，还有界面真不行，乱七八糟的，这电视只能说一般。,负面
1596,先前618买的，一段时间使用后觉得很满意，性价比不错。做为贺礼再次购买送人。,负面
2942,安装有点贵，京东还是很给力的,负面
320,是在做活动是买的还是很优惠 物流速度很快 京东物流必须赞一个 上门的装修师傅很亲和 售后也很耐心 购买体验是非常不错的 画面还是蛮清晰 而且遥控器反应速度快 看电影看电视剧都可以下一个当贝影视快搜搜得到 而且风行的这款电视在网上的评论也都是蛮好 属于高性价比的那一种,负面
1315,安装师傅态度不错，不知道电视效果怎么样。,正面
985,已经收到了还没有安装使用应该不错！,正面
3272,一天多就到货了，安装也很快，暂时没发现什么毛病，音效确实不错，不愧是李健创立的品牌，性价比高，操作也简洁方便，速度也挺快的，各方面还有待考证，就是自带的安卓看电影电视很卡，老是在缓冲中，另下的就不会。还有屏幕漏光挺厉害的，透光也是，做工还有带加强，不是全金属外壳，还有要求会员的片太多，不是会员几乎看不了什么东西，你们的会员并没有这么值钱，建议买微鲸电视送永久会员！！！,负面
1508,物流很快，电视也很清晰，重量也不是很重，很适合挂在墙上。 晒单： 收起 向左转 向右转,正面
3704,并没有智能语音 遥控器上本该是语音的那个按钮是静音键 亮度略低 但是瑕不掩瑜还是挺不错的,负面
289,电视图像很清晰，质量保证价格也合理；物流也很快；大家放心购买！,正面
3831,屏幕不错，但是声音一般啊，看片还得配音响,正面
1591,电视还是挺清晰的，也挺薄，认为性价比非常不错的一款电视。现在小孩整天都在看动画片。就是还是希望不用金卡会员的电影能多点。,正面
1042,老顾客了，东西很好，会回购,负面
2761,遗憾左下角轻微漏光，处女座不好忍啊,负面
1611,价格实惠，价格实惠，很好。,负面
3520,特地用了一段时间才来做个如实的评价： 优点：送货快，货源与物流有保障；边框窄，外观精致；性价比高； 缺点：1.下边框与显示屏接触不严密且不均匀（外框不直，见图），当然这不影响使用；2.虽说是4K高清，但很多片源播放不了，送的一年白金 会员4K片源均可播放，但我用的是移动宽带，移动宽带送的魔百盒里的4K片源好多播放不了，不知什么原因；3.送的白金 会员片源少，比移动的少多了，且没看到有实时在线电视；4.送的挂架虽是免费的，但是质量一般，其中一个支架已变形，且螺丝孔是滑牙了（我自己借了丝锥攻丝处理了）；5.内存太小，装不了太多软件；,正面
3451,并没有智能语音 遥控器上本该是语音的那个按钮是静音键 亮度略低 但是瑕不掩瑜还是挺不错的,负面
910,此用户未及时评价，系统默认好评。 2017-12-25 20:13:54 追加： 小米真心不错，物超所值,负面
3545,把电视安装的，让我开门进来觉得都快掉地上了，好想去扶下，所以给差评！决对的差评！！！已经对电视好与坏都没了没了兴趣,负面
